baseline	k	label	seeds	observed_label_rows_mean	observed_label_rows_sd	observed_label_rows_min	observed_label_rows_q05	observed_label_rows_median	observed_label_rows_q95	observed_label_rows_max	recall_mean	recall_sd	fraction_mean	fraction_sd
low_mismatch_random_ties	10000	CRISPRoffT_negative	30	73.3	4.594974766355986	66	66.45	73.0	81.0	84	0.1468937875751503	0.0092083662652424	0.00733	0.0004594974766355
low_mismatch_random_ties	10000	CRISPRoffT_positive	30	44.6	1.8864306744895687	41	42.0	44.5	47.55	48	0.4330097087378641	0.0183148609173744	0.00446	0.0001886430674489
low_mismatch_random_ties	10000	TOPO_positive	30	164.53333333333333	8.985556737623856	150	150.45	165.0	177.84999999999997	188	0.0076130544759084	0.0004157670154369	0.0164533333333333	0.0008985556737623
low_mismatch_random_ties	10000	all_positive	30	321.46666666666664	12.311288157295085	301	304.0	320.0	339.55	348	0.0126278299354467	0.0004836111151076	0.0321466666666666	0.0012311288157295
low_mismatch_random_ties	10000	any_assay_labeled	30	3601.4666666666667	24.598476730709653	3562	3565.7	3599.5	3638.45	3678	0.0229350417226542	0.0001566492605232	0.3601466666666666	0.0024598476730709
low_mismatch_random_ties	50000	BE_positive	30	368.3	3.544300913511317	364	364.0	367.5	375.0	378	0.0984233030464992	0.0009471675343429	0.007366	7.088601827022619e-05
low_mismatch_random_ties	50000	CRISPRoffT_negative	30	213.36666666666667	1.2994251602637368	212	212.0	213.0	216.0	216	0.4275885103540414	0.0026040584374022	0.0042673333333333	2.598850320527467e-05
low_mismatch_random_ties	50000	CRISPRoffT_positive	30	78.2	0.4842341981115053	78	78.0	78.0	79.0	80	0.7592233009708738	0.0047013028942864	0.0015639999999999	9.684683962230078e-06
low_mismatch_random_ties	50000	TOPO_positive	30	875.9333333333333	6.269429569461384	862	866.45	875.0	886.55	890	0.0405299524955271	0.00029009020773	0.0175186666666666	0.0001253885913892
low_mismatch_random_ties	50000	all_positive	30	1322.4333333333334	7.623391105933284	1304	1309.9	1321.0	1333.65	1336	0.0519477288499561	0.0002994614882324	0.0264486666666666	0.0001524678221186
low_mismatch_random_ties	50000	any_assay_labeled	30	15372.1	18.14567489076639	15337	15347.35	15371.0	15402.15	15421	0.0978933827509568	0.0001155562022987	0.307442	0.0003629134978153
low_mismatch_random_ties	100000	BE_positive	30	526.6666666666666	11.238276138924192	502	510.35	528.0	540.55	555	0.1407446998040263	0.003003280635736	0.0052666666666666	0.0001123827613892
low_mismatch_random_ties	100000	CRISPRoffT_negative	30	238.96666666666667	4.506572467219272	232	233.0	238.0	246.55	247	0.4788911155644622	0.0090312073491368	0.0023896666666666	4.506572467219269e-05
low_mismatch_random_ties	100000	CRISPRoffT_positive	30	80.7	1.643167672515496	78	78.45	80.0	84.0	84	0.7834951456310679	0.0159530841991796	0.000807	1.6431676725154967e-05
low_mismatch_random_ties	100000	TOPO_positive	30	1654.9333333333334	22.0155639825844	1603	1618.95	1660.5	1688.0	1692	0.0765747424270467	0.0010186731437434	0.0165493333333333	0.0002201556398258
low_mismatch_random_ties	100000	all_positive	30	2262.3	25.03259943519189	2208	2222.05	2263.5	2294.4	2323	0.0888675020623011	0.0009833287282551	0.022623	0.0002503259943519
low_mismatch_random_ties	100000	any_assay_labeled	30	23390.9	67.76752858880494	23237	23293.65	23407.0	23485.35	23535	0.148959109463857	0.0004315605944685	0.233909	0.000677675285888
